scaffold,coverage
NODE_1_length_1939052_cov_742.669764,949.5769653
NODE_2_length_1277686_cov_44.020387,56.01462173
NODE_3_length_1162341_cov_734.486835,933.4028931
NODE_4_length_785205_cov_725.414611,924.9276733
NODE_5_length_774960_cov_43.861081,55.93004608
NODE_6_length_630774_cov_45.549126,56.37069702
NODE_7_length_533286_cov_43.501606,55.56517792
NODE_8_length_346358_cov_739.172898,945.5210571
NODE_9_length_331770_cov_739.765588,929.5194702
NODE_10_length_317294_cov_43.773319,55.7376709
NODE_11_length_304505_cov_44.820394,56.53036118
NODE_12_length_244121_cov_44.848144,56.84869003
NODE_13_length_235491_cov_44.701647,56.94336319
NODE_14_length_231504_cov_43.559225,55.9288063
NODE_15_length_183312_cov_44.962523,57.65035248
NODE_16_length_159162_cov_43.511455,55.45378494
NODE_17_length_150281_cov_46.962749,57.64569473
NODE_18_length_129776_cov_44.168500,56.24704361
NODE_19_length_113840_cov_727.404658,931.9810791
NODE_20_length_106044_cov_760.325043,974.6094971
NODE_21_length_101868_cov_754.214894,958.3369751
NODE_22_length_81493_cov_778.279845,971.211792
NODE_23_length_73991_cov_726.018705,929.5238037
NODE_24_length_61042_cov_45.321823,57.8636322
NODE_25_length_52131_cov_750.154428,957.0639648
NODE_26_length_44678_cov_7.222374,9.098753929
NODE_27_length_44039_cov_6.306111,7.961125374
NODE_28_length_33616_cov_751.876583,959.6187134
NODE_29_length_23148_cov_724.603516,925.9702148
NODE_30_length_11781_cov_7.816391,9.746050835
NODE_31_length_10131_cov_2.801509,3.534627438
NODE_32_length_9806_cov_11.597682,14.21239948
NODE_33_length_7509_cov_6.292729,7.95092535
NODE_34_length_7242_cov_3.093363,4.011808395
NODE_35_length_7192_cov_2.724954,3.537628651
NODE_36_length_7015_cov_2.782759,3.700527906
NODE_37_length_6867_cov_2.634028,3.412465096
NODE_38_length_6692_cov_3.105469,4.089988708
NODE_39_length_6681_cov_2.544823,3.212822914
NODE_40_length_6384_cov_3.009164,3.707097054
NODE_41_length_6147_cov_2.507551,3.229631186
NODE_42_length_6050_cov_3.482902,4.538347244
NODE_43_length_5927_cov_2.915020,3.641358376
NODE_44_length_5665_cov_3.063458,3.92794013
NODE_45_length_5552_cov_3.272512,4.21772337
NODE_46_length_5501_cov_2.697209,3.392898798
NODE_47_length_5452_cov_2.497869,3.250117779
NODE_48_length_5402_cov_2.648214,3.374583483
NODE_49_length_5374_cov_2.330513,2.91842103
NODE_50_length_5369_cov_3.585247,4.661958218
NODE_51_length_5241_cov_2.390474,3.170390368
NODE_52_length_5232_cov_2.853969,3.67658639
NODE_53_length_5204_cov_2.819965,3.596439123
NODE_54_length_5203_cov_2.902292,3.699975252
NODE_55_length_5141_cov_2.845065,3.653643847
NODE_56_length_5027_cov_3.125704,3.848321915
NODE_57_length_4996_cov_2.822506,3.691593647
NODE_58_length_4982_cov_836.263852,991.6523438
NODE_59_length_4934_cov_2.508506,3.329414845
NODE_60_length_4893_cov_2.961141,3.733596802
NODE_61_length_4811_cov_2.506728,3.207562447
NODE_62_length_4783_cov_3.146997,4.206635952
NODE_63_length_4760_cov_2.488629,2.944414377
NODE_64_length_4734_cov_2.528318,3.173664093
NODE_65_length_4683_cov_2.859118,3.669423819
NODE_66_length_4678_cov_2.920614,3.651214123
NODE_67_length_4676_cov_2.574118,3.396742105
NODE_68_length_4653_cov_6.095694,7.873438835
NODE_69_length_4617_cov_3.071021,3.937902212
NODE_70_length_4611_cov_2.987489,3.792098522
NODE_71_length_4598_cov_2.875633,3.699719191
NODE_72_length_4577_cov_2.657674,3.307931185
NODE_73_length_4535_cov_2.729241,3.492162943
NODE_74_length_4505_cov_3.156404,4.043902397
NODE_75_length_4499_cov_2.392439,3.141625881
NODE_76_length_4498_cov_4.233176,5.041091919
NODE_77_length_4471_cov_2.219656,2.916980028
NODE_78_length_4438_cov_3.290668,4.373251915
NODE_79_length_4395_cov_2.684101,3.589637995
NODE_80_length_4356_cov_2.734248,3.512180567
NODE_81_length_4355_cov_24.880233,4.397919655
NODE_82_length_4350_cov_2.415367,3.158035755
NODE_83_length_4346_cov_2.340014,3.099761724
NODE_84_length_4316_cov_2.206290,2.964607
NODE_85_length_4289_cov_3.362541,4.342288017
NODE_86_length_4281_cov_2.381685,3.186686754
NODE_87_length_4259_cov_3.379163,4.356035233
NODE_88_length_4256_cov_2.797905,3.541692019
NODE_89_length_4244_cov_2.332538,3.000305176
NODE_90_length_4190_cov_2.523337,3.261447906
NODE_91_length_4134_cov_2.999019,3.583124161
NODE_92_length_4123_cov_2.571042,3.029254436
NODE_93_length_4121_cov_2.067634,2.477179766
NODE_94_length_4105_cov_2.918272,3.797156334
NODE_95_length_4017_cov_2.569662,3.266235828
NODE_96_length_4011_cov_2.822548,3.569439888
NODE_97_length_3998_cov_2.473497,3.179870129
NODE_98_length_3964_cov_3.213098,4.182175636
NODE_99_length_3939_cov_3.083162,3.884932518
NODE_100_length_3935_cov_3.111856,4.016507149
NODE_101_length_3924_cov_4.326958,4.936423779
NODE_102_length_3905_cov_2.511429,3.250915051
NODE_103_length_3899_cov_2.358481,3.125624895
NODE_104_length_3888_cov_2.690582,3.44618988
NODE_105_length_3821_cov_3.625597,4.638406754
NODE_106_length_3820_cov_2.710757,3.620231628
NODE_107_length_3815_cov_2.655585,3.483464003
NODE_108_length_3815_cov_2.615691,3.38152051
NODE_109_length_3805_cov_2.628000,3.189743519
NODE_110_length_3800_cov_2.966355,3.904794455
NODE_111_length_3789_cov_3.700589,4.889804363
NODE_112_length_3773_cov_2.701452,3.521903992
NODE_113_length_3764_cov_2.906174,3.825034618
NODE_114_length_3752_cov_3.067352,3.856696844
NODE_115_length_3750_cov_2.633288,3.347222328
NODE_116_length_3731_cov_3.337867,4.214310646
NODE_117_length_3719_cov_2.694596,3.437521935
NODE_118_length_3704_cov_2.449986,3.196905851
