scaffold,coverage
NODE_1_length_1939052_cov_742.669764,941.7393188
NODE_2_length_1277686_cov_44.020387,55.79085541
NODE_3_length_1162341_cov_734.486835,922.6350708
NODE_4_length_785205_cov_725.414611,917.1828613
NODE_5_length_774960_cov_43.861081,55.73130798
NODE_6_length_630774_cov_45.549126,56.14773941
NODE_7_length_533286_cov_43.501606,55.44915771
NODE_8_length_346358_cov_739.172898,939.0220947
NODE_9_length_331770_cov_739.765588,919.7965698
NODE_10_length_317294_cov_43.773319,55.62285995
NODE_11_length_304505_cov_44.820394,56.14020538
NODE_12_length_244121_cov_44.848144,56.59955215
NODE_13_length_235491_cov_44.701647,56.78133392
NODE_14_length_231504_cov_43.559225,55.66832352
NODE_15_length_183312_cov_44.962523,57.31268311
NODE_16_length_159162_cov_43.511455,55.16837692
NODE_17_length_150281_cov_46.962749,58.93293381
NODE_18_length_129776_cov_44.168500,56.44393921
NODE_19_length_113840_cov_727.404658,924.0841675
NODE_20_length_106044_cov_760.325043,965.8286133
NODE_21_length_101868_cov_754.214894,952.5889893
NODE_22_length_81493_cov_778.279845,957.0499268
NODE_23_length_73991_cov_726.018705,922.3370361
NODE_24_length_61042_cov_45.321823,57.77967453
NODE_25_length_52131_cov_750.154428,946.934021
NODE_26_length_44678_cov_7.222374,9.16151619
NODE_27_length_44039_cov_6.306111,7.979448318
NODE_28_length_33616_cov_751.876583,951.2243652
NODE_29_length_23148_cov_724.603516,916.3852539
NODE_30_length_11781_cov_7.816391,9.569770813
NODE_31_length_10131_cov_2.801509,3.593527794
NODE_32_length_9806_cov_11.597682,14.34703827
NODE_33_length_7509_cov_6.292729,7.884767056
NODE_34_length_7242_cov_3.093363,4.075155258
NODE_35_length_7192_cov_2.724954,3.634194851
NODE_36_length_7015_cov_2.782759,3.69949007
NODE_37_length_6867_cov_2.634028,3.493375063
NODE_38_length_6692_cov_3.105469,4.114490986
NODE_39_length_6681_cov_2.544823,3.320930958
NODE_40_length_6384_cov_3.009164,3.913217783
NODE_41_length_6147_cov_2.507551,3.244622231
NODE_42_length_6050_cov_3.482902,4.65220356
NODE_43_length_5927_cov_2.915020,3.773238659
NODE_44_length_5665_cov_3.063458,3.982411623
NODE_45_length_5552_cov_3.272512,4.290448189
NODE_46_length_5501_cov_2.697209,3.506447315
NODE_47_length_5452_cov_2.497869,3.296491861
NODE_48_length_5402_cov_2.648214,3.43259716
NODE_49_length_5374_cov_2.330513,2.970520735
NODE_50_length_5369_cov_3.585247,4.710481167
NODE_51_length_5241_cov_2.390474,3.118247986
NODE_52_length_5232_cov_2.853969,3.74734354
NODE_53_length_5204_cov_2.819965,3.741195202
NODE_54_length_5203_cov_2.902292,3.830793619
NODE_55_length_5141_cov_2.845065,3.739130497
NODE_56_length_5027_cov_3.125704,3.986467123
NODE_57_length_4996_cov_2.822506,3.513413191
NODE_58_length_4982_cov_836.263852,972.682312
NODE_59_length_4934_cov_2.508506,3.312709093
NODE_60_length_4893_cov_2.961141,3.786843777
NODE_61_length_4811_cov_2.506728,3.371808529
NODE_62_length_4783_cov_3.146997,4.151090145
NODE_63_length_4760_cov_2.488629,3.287418604
NODE_64_length_4734_cov_2.528318,3.292757511
NODE_65_length_4683_cov_2.859118,3.804544449
NODE_66_length_4678_cov_2.920614,3.596731424
NODE_67_length_4676_cov_2.574118,3.458241224
NODE_68_length_4653_cov_6.095694,7.8316679
NODE_69_length_4617_cov_3.071021,4.079695702
NODE_70_length_4611_cov_2.987489,3.861690283
NODE_71_length_4598_cov_2.875633,3.878597021
NODE_72_length_4577_cov_2.657674,3.344477177
NODE_73_length_4535_cov_2.729241,3.593158484
NODE_74_length_4505_cov_3.156404,4.189208031
NODE_75_length_4499_cov_2.392439,3.095654249
NODE_76_length_4498_cov_4.233176,5.185142517
NODE_77_length_4471_cov_2.219656,2.962508678
NODE_78_length_4438_cov_3.290668,4.288012981
NODE_79_length_4395_cov_2.684101,3.691872835
NODE_80_length_4356_cov_2.734248,3.333095551
NODE_81_length_4355_cov_24.880233,6.135552883
NODE_82_length_4350_cov_2.415367,3.247142792
NODE_83_length_4346_cov_2.340014,3.087940931
NODE_84_length_4316_cov_2.206290,2.972155571
NODE_85_length_4289_cov_3.362541,4.227591038
NODE_86_length_4281_cov_2.381685,3.126119614
NODE_87_length_4259_cov_3.379163,4.316135406
NODE_88_length_4256_cov_2.797905,3.642718077
NODE_89_length_4244_cov_2.332538,2.997557402
NODE_90_length_4190_cov_2.523337,3.295544624
NODE_91_length_4134_cov_2.999019,3.980923653
NODE_92_length_4123_cov_2.571042,3.379310369
NODE_93_length_4121_cov_2.067634,2.671870947
NODE_94_length_4105_cov_2.918272,3.889254093
NODE_95_length_4017_cov_2.569662,3.34574604
NODE_96_length_4011_cov_2.822548,3.709660769
NODE_97_length_3998_cov_2.473497,3.204521894
NODE_98_length_3964_cov_3.213098,4.266386986
NODE_99_length_3939_cov_3.083162,3.928213358
NODE_100_length_3935_cov_3.111856,4.185733318
NODE_101_length_3924_cov_4.326958,5.127716064
NODE_102_length_3905_cov_2.511429,3.24340868
NODE_103_length_3899_cov_2.358481,2.93891716
NODE_104_length_3888_cov_2.690582,3.469502449
NODE_105_length_3821_cov_3.625597,4.710433006
NODE_106_length_3820_cov_2.710757,3.695640326
NODE_107_length_3815_cov_2.655585,3.533697128
NODE_108_length_3815_cov_2.615691,3.36098218
NODE_109_length_3805_cov_2.628000,3.350752354
NODE_110_length_3800_cov_2.966355,3.921095848
NODE_111_length_3789_cov_3.700589,4.785655499
NODE_112_length_3773_cov_2.701452,3.560033083
NODE_113_length_3764_cov_2.906174,3.804925203
NODE_114_length_3752_cov_3.067352,3.918933868
NODE_115_length_3750_cov_2.633288,3.354444504
NODE_116_length_3731_cov_3.337867,4.301312447
NODE_117_length_3719_cov_2.694596,3.53152132
NODE_118_length_3704_cov_2.449986,3.13590312
NODE_119_length_3698_cov_2.784244,3.751127481
NODE_120_length_3682_cov_2.708023,3.436579943
NODE_121_length_3663_cov_2.718404,3.550526619
NODE_122_length_3642_cov_2.741288,3.620275021
NODE_123_length_3640_cov_4.133891,5.247277737
NODE_124_length_3631_cov_2.429251,3.152829647
NODE_125_length_3613_cov_2.929174,3.796130419
NODE_126_length_3608_cov_2.811990,3.664256811
NODE_127_length_3600_cov_3.002821,3.908115864
NODE_128_length_3588_cov_2.345316,3.038685322
NODE_129_length_3564_cov_3.477629,4.413590908
NODE_130_length_3547_cov_2.256586,2.999705553
NODE_131_length_3538_cov_2.867643,3.828217268
NODE_132_length_3536_cov_2.896294,3.897814512
NODE_133_length_3528_cov_2.339764,3.105683804
NODE_134_length_3520_cov_2.853680,3.627893209
NODE_135_length_3519_cov_2.849596,3.704363346
NODE_136_length_3499_cov_2.603659,3.40191102
NODE_137_length_3488_cov_3.368774,4.34152174
NODE_138_length_3483_cov_2.592765,3.455445528
NODE_139_length_3478_cov_2.577271,3.385516882
NODE_140_length_3460_cov_2.470778,3.219033241
NODE_141_length_3450_cov_2.598527,3.468787909
NODE_142_length_3445_cov_2.739528,3.542640448
NODE_143_length_3443_cov_3.021842,4.07197094
NODE_144_length_3427_cov_2.134045,2.967348099
NODE_145_length_3425_cov_2.561128,3.331297636
NODE_146_length_3424_cov_2.803503,3.686927319
NODE_147_length_3415_cov_2.653274,3.521592617
NODE_148_length_3413_cov_3.464562,4.519460678
NODE_149_length_3396_cov_3.818617,5.071164608
NODE_150_length_3392_cov_3.042254,3.982109785
NODE_151_length_3383_cov_2.373798,3.170429945
NODE_152_length_3380_cov_2.703459,3.502167225
NODE_153_length_3342_cov_2.559477,3.458333254
NODE_154_length_3328_cov_3.007027,3.882945299
NODE_155_length_3283_cov_2.592007,3.418767929
NODE_156_length_3282_cov_3.007127,3.93167305
NODE_157_length_3266_cov_1.985363,2.692875385
NODE_158_length_3263_cov_3.394638,4.496626854
NODE_159_length_3263_cov_2.754364,3.63893342
NODE_160_length_3263_cov_2.544576,3.294892311
NODE_161_length_3239_cov_2.644472,3.528002501
